"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Hernández, Teoscar","606192","124","11.9",40.3,"112.5","88.8","102.3","93.5","83.5","436","175","392","54",43.5,"16",12.9,9.5
"Campbell, Kristian","692225","124","7.7",30.6,"112.2","89.5","100.9","95","85.8","431","143","382","54",43.5,"8",6.5,4
"Hoskins, Rhys","656555","123","21",45.5,"111.1","91.6","100.6","94.5","86.7","440","200","397","58",47.2,"15",12.2,7.4
"Sheets, Gavin","657757","123","17.3",43.9,"110.1","92.4","101.8","97.2","86.8","439","194","399","66",53.7,"14",11.4,7.7
"Busch, Michael","683737","122","15.1",40.2,"110.4","90.6","100.8","93.6","85.9","411","194","391","57",46.7,"17",13.9,8.6
"Realmuto, J.T.","592663","122","10.2",36.1,"109.3","91","102.2","95.8","86.7","418","163","403","56",45.9,"14",11.5,7.4
"Arozarena, Randy","668227","121","13.2",35.5,"112.3","91.9","102.8","95.8","90.6","424","165","394","60",49.6,"12",9.9,5.4
"McKinstry, Zach","656716","121","11",47.9,"108.7","86.7","97.6","92.1","81.2","379","160","368","44",36.4,"8",6.6,4.1
"Scott II, Victor","687363","121","13.1",38,"106.6","87","97.1","89.8","84.3","396","164","396","36",29.8,"5",4.1,2.6
"Robert Jr., Luis","673357","121","19.3",33.9,"115.8","90.2","102.1","94.3","88.6","415","174","387","56",46.3,"15",12.4,7.3
"McMahon, Ryan","641857","120","14.8",32.5,"111.2","94","102.9","96.1","91","436","171","411","59",49.2,"14",11.7,6.4
"Arias, Gabriel","672356","120","6.1",27.5,"112.3","88.6","100.9","96.9","82.4","424","137","402","49",40.8,"12",10,6.3
"Burleson, Alec","676475","120","16.4",28.3,"110.4","91.7","101.3","94.1","91.4","435","160","418","54",45,"7",5.8,4.6
"Rice, Ben","700250","120","12.7",37.5,"113.2","94.5","105.2","98.5","91.1","423","179","391","70",58.3,"23",19.2,12.3
"Wells, Austin","669224","120","21.2",33.3,"111","91.1","101.9","94","89.4","412","190","372","57",47.5,"13",10.8,7.3
"Muncy, Max","571970","119","18.8",35.3,"110.5","90.3","101.4","95","83","433","186","410","60",50.4,"13",10.9,6.4
"Manzardo, Kyle","700932","119","22.5",34.5,"109.6","90.2","100.6","96","81.6","424","205","394","54",45.4,"16",13.4,8.2
"Winn, Masyn","691026","119","17.1",35.3,"109","88.6","99.8","92.2","88.3","403","171","391","43",36.1,"8",6.7,4.4
"Lux, Gavin","666158","118","10",39.8,"106.4","89","98.4","90.7","86.9","397","162","397","49",41.5,"5",4.2,2.7
"Báez, Javier","595879","118","9.3",31.4,"108.4","87.9","99.6","91.3","85.2","421","156","387","47",39.8,"8",6.8,4.8
"Moreno, Gabriel","672515","118","11.6",33.9,"108.3","92.5","100.3","94.3","91.5","411","160","389","57",48.3,"6",5.1,3.8
"Lopez, Otto","672640","118","6.4",32.2,"109.9","87.1","97.7","90","84.1","418","149","401","35",29.7,"10",8.5,6.6
"Aranda, Jonathan","666018","117","13.4",39.3,"111.4","92.8","102.9","93.9","92.8","433","164","386","65",55.6,"14",12,7.6
"Edman, Tommy","669242","117","15.7",40.2,"108.6","88.4","100.1","91.5","87.8","423","177","403","50",42.7,"10",8.5,6.6
"Grisham, Trent","663757","114","18.4",34.2,"109.8","91.4","100.8","95.9","85.1","415","192","388","51",44.7,"19",16.7,11.1
"Jeffers, Ryan","680777","114","15.4",35.1,"110.4","90.1","101.1","95.1","85.2","420","186","413","51",44.7,"9",7.9,5.4
"Lee, Brooks","686797","113","16.3",31.9,"106.7","89.7","98.5","92.1","87.7","401","170","388","44",38.9,"10",8.8,6.8
"Burger, Jake","669394","113","16.5",29.2,"114.7","90.9","103.9","95.7","87.1","429","178","398","56",49.6,"17",15,10.2
"Springer, George","543807","112","16.7",37.5,"112.3","91.7","101.8","96.2","87.9","426","178","408","56",50,"19",17,10.1
"Farmer, Kyle","571657","112","14",39.3,"105.8","85.8","97.5","92.3","81.2","392","159","392","36",32.1,"6",5.4,4
"Bell, Josh","605137","112","10.1",29.5,"111.7","87.9","100.1","96.3","81","433","158","396","43",38.4,"9",8,5.2
"Taylor, Tyrone","621438","112","19.5",45.5,"109.5","85.4","97.9","89.9","83.4","397","167","397","42",37.5,"6",5.4,3.8
"Isbel, Kyle","664728","111","15.2",24.3,"108.4","86.1","98.5","90.9","89.1","401","128","392","34",30.6,"3",2.7,2.1
"Polanco, Jorge","593871","111","11.5",35.1,"111.9","92.4","103.1","96.5","90.1","423","166","391","58",52.3,"17",15.3,11.8
"Allen, Nick","669397","110","11.9",30.9,"104.4","85.8","95.3","87.1","86.6","382","133",,"27",24.5,"0",0,0
"Heim, Jonah","641680","110","15.2",32.7,"109.6","89.4","98.8","92.4","89.3","417","167","384","40",36.4,"7",6.4,4.5
"Crews, Dylan","686611","110","7.7",30,"111.1","90.1","101.3","95.4","86.7","429","158","404","45",40.9,"16",14.5,9.2
"Dingler, Dillon","693307","110","14.6",40.9,"110.7","89.7","101.3","94.2","84.3","410","178","399","50",45.5,"9",8.2,5.7
"Martínez, Angel","682657","110","13.1",27.3,"107.4","87.9","97.6","90.4","87.9","385","145","369","36",32.7,"2",1.8,1.4
"McLain, Matt","680574","109","16.1",38.5,"109.9","90","100.6","94.9","82.7","414","196","399","52",47.7,"11",10.1,5.6
"Moniak, Mickey","666160","109","14.6",33.9,"110.3","90","101.2","93.6","85.8","429","179","404","52",47.7,"10",9.2,6.4
"O'Hoppe, Logan","681351","108","20.8",37,"111.1","91.7","102.5","96.5","86.3","470","207","404","57",52.8,"21",19.4,12
"Smith, Will","669257","108","21.3",42.6,"109.8","91.7","101.3","94.2","88.4","419","203","395","52",48.1,"15",13.9,8.8
"Beck, Jordan","687597","108","14.3",41.7,"110.8","89.5","100.8","95.6","81.3","437","183","414","46",42.6,"16",14.8,9.1
"Urías, Luis","649966","108","12.7",30.6,"106.8","87.5","97.6","92.6","84.5","398","157","377","35",32.4,"6",5.6,4.1
"Verdugo, Alex","657077","108","9.9",34.3,"107.7","90.2","100.4","91.5","90.4","404","157",,"49",45.4,"4",3.7,3
"Durbin, Caleb","702332","108","17.2",27.8,"103.5","83.7","94.5","87.9","82.1","375","159","375","23",21.3,"2",1.9,1.5
"Keith, Colt","690993","106","7.7",39.6,"109.6","87.3","99.7","95.2","78.6","450","168","412","41",38.7,"10",9.4,6.2
"Bart, Joey","663698","106","10.4",37.7,"111","89","101.8","95.3","83.7","411","161","411","48",45.3,"11",10.4,6.5
"Wade Jr., LaMonte","664774","106","23.5",34,"107.6","89.3","97.7","92","86.8","388","198","364","32",30.2,"5",4.7,3.1
"Narváez, Carlos","665966","105","12.6",28.6,"110.8","91.3","102.6","94","90.2","410","155","373","44",41.9,"13",12.4,8.3
"Cruz, Oneil","665833","105","9.9",37.1,"122.9","97.2","109","102","92.2","463","186","412","65",61.9,"26",24.8,12.7
"Domínguez, Jasson","691176","105","15.5",33.3,"112.1","90.5","102.1","93.9","90.4","445","175","406","55",52.4,"10",9.5,5.6
"Buxton, Byron","621439","104","15.3",34.6,"112.5","91.4","103.6","97.2","86.3","446","182","403","58",55.8,"17",16.3,9.8
"Adell, Jo","666176","104","11.5",28.8,"112.2","90.1","102.7","93.9","88.8","435","154","410","47",45.2,"12",11.5,7.7
"Simpson, Chandler","802415","104","0.3",28.8,"107.6","83.5","93","85.3","83.2","351","107",,"17",16.3,"0",0,0
"Conforto, Michael","624424","103","12.4",34,"112.9","90.8","101.2","93.3","88.8","419","168","407","49",47.6,"12",11.7,6.3
"Giménez, Andrés","665926","103","7",29.1,"105.9","87.9","98","92.6","83","407","157","385","32",31.1,"4",3.9,2.8
"Toglia, Michael","669911","103","16.8",36.9,"109.6","89.3","100.9","93.6","83.9","457","188","422","42",40.8,"11",10.7,5.5
"Bader, Harrison","664056","102","10.2",30.4,"110.7","86.7","100.1","94","82.3","417","148","390","43",42.2,"9",8.8,5.9
"Thomas, Alek","677950","102","2.2",29.4,"109.4","91.9","100.7","95.8","89.5","417","129","378","41",40.2,"7",6.9,4.7
"Walker, Jordan","691023","101","11.4",30.7,"116.5","92.3","103.6","94","93.2","422","157","412","47",46.5,"8",7.9,4.8
"Pagés, Pedro","686780","99","14.5",31.3,"108.7","88.7","99.8","92","85.7","399","166","385","37",37.4,"7",7.1,5.1
"Acuña, Luisangel","682668","99","2.4",29.3,"110.3","87.9","99.7","88.8","88.7","389","118",,"35",35.4,"1",1,0.7
"Taveras, Leody","665750","99","22.1",29.3,"109.8","88.2","98.7","91.7","88.7","398","173","393","34",34.3,"7",7.1,4.8
