"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Imanaga, Shota","684007","133","21.4",39.1,"111.1","90.4","81","93.7","86.1","419","200","398","52",39.1,"14",10.5,7.7
"Blanco, Ronel","669854","131","17.7",25.2,"110.8","85.9","74.4","91.6","78","418","172","392","40",30.5,"11",8.4,5.5
"Warren, Will","701542","129","11.3",34.1,"113.6","91.7","80.9","94.8","89.4","409","159","386","64",49.6,"13",10.1,6
"Newcomb, Sean","656794","129","10.1",34.1,"113.2","91.4","80.9","94.1","89.4","430","158","393","65",50.4,"10",7.8,5.3
"Olson, Reese","681857","127","9.9",30.7,"111.6","91","80.7","92","91.2","418","146","407","60",47.2,"9",7.1,4.5
"Walker, Taijuan","592836","121","13.8",33.9,"111.2","88.4","77.9","93.2","84.6","390","159","378","45",37.2,"6",5,3.5
"Leiter, Jack","683004","120","15.8",33.3,"111.7","90.1","80","92.4","86.6","432","179","395","46",38.3,"13",10.8,7.6
"Smith-Shawver, AJ","700363","119","15.9",41.2,"116.2","91.3","80.2","94.8","86.7","414","187","397","60",50.4,"13",10.9,7.2
"Greene, Hunter","668881","118","23.5",33.9,"109.3","90.1","79.6","92.9","87.3","457","202","395","51",43.2,"13",11,6.7
"Miller, Bryce","682243","117","15.7",40.2,"117","91","80.9","93.3","89","416","171","382","49",41.9,"6",5.1,3.4
"Buehler, Walker","621111","117","10.4",33.3,"109.6","86.2","73.5","91.1","82.6","414","153","393","39",33.3,"11",9.4,6.5
"Dobbins, Hunter","690928","115","9.6",33,"111.3","89.4","78","94.4","85.1","408","159","390","49",42.6,"8",7,5.2
"Woods Richardson, Simeon","680573","115","20.7",41.7,"115.3","91","80.3","96.4","84.9","450","200","409","55",47.8,"19",16.5,11.4
"Dollander, Chase","801403","114","13.6",36.8,"111.6","89.4","77.5","96.1","83.1","435","188","409","52",45.6,"20",17.5,11.6
"Lord, Brad","695418","114","11.7",39.5,"115.3","88.5","76.7","91.5","86.2","402","164","378","48",42.1,"7",6.1,4.3
"Montero, Keider","672456","113","12.1",37.2,"107.9","87.6","77.3","93","80.9","408","173","390","38",33.6,"9",8,5.8
"Cabrera, Edward","665795","113","11.5",31,"116.7","90.2","79.6","94.4","85.7","431","175","387","50",44.2,"10",8.8,5.8
"Eflin, Zach","621107","112","11.8",30.4,"110.8","89.9","79.7","93.5","86","399","176","383","45",40.2,"12",10.7,8.8
"Bello, Brayan","678394","111","5.4",34.2,"110.3","90.2","79.7","92.3","88.8","410","139","394","46",41.4,"8",7.2,5
"Alexander, Tyler","641302","110","19.4",39.1,"114.3","89","77.7","92","87.2","432","187","408","46",41.8,"7",6.4,4.6
"Evans, Logan","688138","109","12.8",41.3,"112.8","89.7","79.1","90","89.1","448","181","397","42",38.5,"9",8.3,6.3
"Nelson, Ryne","669194","108","10.8",38,"115","91.3","81.8","94.1","88.4","425","165","400","45",41.7,"8",7.4,5.2
"Carrasco, Carlos","471911","107","14.8",36.4,"109.9","91.1","81","91.7","90.3","412","174","391","45",42.1,"13",12.1,9.2
"Ragans, Cole","666142","105","15.7",32.4,"117.2","88.3","76.4","93","85.2","419","174","391","42",40,"8",7.6,4.2
"Gusto, Ryan","687473","105","18.8",34.3,"111","91.8","82.4","95.2","88.9","401","186","379","47",44.8,"10",9.5,6.3
"Sasaki, Roki","808963","105","13.6",32.4,"113.1","90.4","80.6","92.3","88.9","427","179","396","47",44.8,"11",10.5,7.1
"Quintana, Jose","500779","103","12.8",33,"109.8","90.2","80.9","94.1","87.9","405","166","392","44",42.7,"9",8.7,6.5
"Kranick, Max","668820","103","17",31.1,"111.7","90.2","80.3","93.4","90.1","427","167","400","46",44.7,"9",8.7,7
